index,tag,id,role,name,aria-label,text,classes,selector
"1","head","","","","","The Internet $(document).foundation();","","head"
"2","title","","","","","The Internet","","title"
"3","div","","","","","","row","div.row"
"4","div","flash-messages","","","","","large-12 columns","div#flash-messages.large-12.columns"
"5","div","","","","","Login Page This is where you can log into the secure area. Enter tomsmith for the username and SuperSecretPassword! for ","row","div.row"
"6","a","","","","","","","a"
"7","img","","","","","","","img"
"8","div","content","","","","Login Page This is where you can log into the secure area. Enter tomsmith for the username and SuperSecretPassword! for ","large-12 columns","div#content.large-12.columns"
"9","div","","","","","Login Page This is where you can log into the secure area. Enter tomsmith for the username and SuperSecretPassword! for ","example","div.example"
"10","h2","","","","","Login Page","","h2"
"11","h4","","","","","This is where you can log into the secure area. Enter tomsmith for the username and SuperSecretPassword! for the passwor","subheader","h4.subheader"
"12","em","","","","","tomsmith","","em"
"13","em","","","","","SuperSecretPassword!","","em"
"14","form","login","","login","","Username Password Login","","form#login[name=""login""]"
"15","div","","","","","Username","row","div.row"
"16","div","","","","","Username","large-6 small-12 columns","div.large-6.small-12.columns"
"17","label","","","","","Username","","label"
"18","input","username","","username","","","","input#username[name=""username""]"
"19","div","","","","","Password","row","div.row"
"20","div","","","","","Password","large-6 small-12 columns","div.large-6.small-12.columns"
"21","label","","","","","Password","","label"
"22","input","password","","password","","","","input#password[name=""password""]"
"23","button","","","","","Login","radius","button.radius"
"24","i","","","","","Login","fa fa-2x fa-sign-in","i.fa.fa-2x.fa-sign-in"
"25","div","page-footer","","","","Powered by Elemental Selenium","row","div#page-footer.row"
"26","div","","","","","Powered by Elemental Selenium","large-4 large-centered columns","div.large-4.large-centered.columns"
"27","hr","","","","","","","hr"
"28","div","","","","","Powered by Elemental Selenium","","div"
"29","a","","","","","Elemental Selenium","","a"
